track_name,emotion,album,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",0,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",2Fv2injs4qAm8mJBGaxVKU,0.427,0.396,11,-7.556,1,0.0366,0,0.11,0.306,70.368,284780,4
"Pachtaoge (From ""Jaani Ve"")",0,"Pachtaoge (From ""Jaani Ve"")",5QVHNa0ppJUOoqSd36ovQS,0.515,0.691,5,-4.028,0,0.0344,0,0.121,0.484,169.521,226789,3
Hamari Adhuri Kahani (Title Track),0,Hamari Adhuri Kahani (Original Motion Picture Soundtrack),3HiobOOpSpMsi95WBKPBYk,0.223,0.359,0,-7.569,1,0.0312,0,0.133,0.193,73.059,398799,4
Naina,0,Dangal (Original Motion Picture Soundtrack),0Yld4eVEV6rBvpijVU2s6l,0.501,0.445,6,-8.432,1,0.0337,0,0.117,0.388,80.086,225750,4
Kalank (Title Track),0,Kalank,6vo7Y1iWyZvpjvFbf6BiZ5,0.57,0.55,10,-8.343,1,0.035,3.73E-05,0.0921,0.435,117.999,311186,4
"Khamoshiyan (From ""Khamoshiyan"")",0,"Khamoshiyan (From ""Khamoshiyan"")",5Gy67YHzPZTk9Q0D73LAGH,0.524,0.52,2,-6.838,0,0.0272,0,0.158,0.259,143.885,335710,3
Janam Janam,0,Dilwale (Original Motion Picture Soundtrack),4km0RUkMMFdx8iDuq36o2w,0.301,0.581,11,-7.324,0,0.0422,0,0.0757,0.235,132.051,237897,3
"Bulleya (From ""Ae Dil Hai Mushkil"") - Reprise",0,Yours Truly Arijit,6BF9qGTbwHweKyit2gEtsa,0.533,0.787,2,-4.395,0,0.0416,0,0.112,0.634,87.055,348966,4
Arziyan,0,Delhi-6,3V80Iv04B9XAqGHbXdtRT1,0.582,0.559,9,-8.64,1,0.0479,0,0.135,0.656,139.891,519236,3
Lae Dooba,0,Aiyaary,4cNbz1UdBCrnGOg0NNP1iF,0.569,0.297,6,-8.639,1,0.0292,0,0.0938,0.466,89.96,229878,4
Moh Moh Ke Dhaage (Female),0,Dum Laga Ke Haisha,7uubRr0u9Zxc1Y84hEn7Xf,0.585,0.399,2,-8.133,1,0.0286,3.47E-06,0.123,0.349,128.03,322900,4
Judai,0,Jannat (Original Motion Picture Soundtrack),7LGgRybx6vnACSRnYcGmMl,0.677,0.837,8,-4.814,0,0.0646,0.0013,0.115,0.829,111.934,302400,4
Bandheh,0,Black Friday,7nz5qUO3ZtyfpMV4SuRWku,0.612,0.425,0,-8.706,0,0.0499,7.85E-06,0.0776,0.17,135.009,468793,4
Dil Kyun Yeh Mera,0,Kites,5nHwX7e5XHnie22nuTFgda,0.486,0.382,6,-6.183,1,0.0286,8.56E-05,0.149,0.164,125.918,333200,3
Such Keh Raha Hai,0,Rehnaa Hai Terre Dil Mein,0ypgFw67lNEpoKFUxUV0tG,0.797,0.306,11,-14.176,0,0.0487,0,0.169,0.519,124.003,328880,4
Zindagi Do Pal Ki,0,Kites,3s6H6UW7yPu2rsF8CGki60,0.678,0.771,6,-2.849,1,0.0266,0.00253,0.149,0.462,105.976,253200,4
"Rangeela Re (From ""Rangeela"")",0,Rangeela (Original Motion Picture Soundtrack),624lQRTcXdmQiWcNhMWgPU,0.916,0.716,1,-6.563,1,0.139,0.528,0.201,0.724,113.016,334840,4
Dekha Hazaro Dafaa,0,Rustom,7AV1hh76pC1mg4iSH796Vp,0.411,0.277,7,-8.844,1,0.0305,0,0.209,0.345,143.768,207752,3
Makhna,0,"Makhna (From ""Drive"")",0ZHILXmUaVSLEOCWxPQ1ga,0.696,0.704,1,-7.876,1,0.0423,0,0.155,0.426,124.972,183000,4
Hai Junoon,0,New York,5u4q3iqZ9IMbXaR7bsGYbW,0.739,0.664,2,-10.582,1,0.0338,1.14E-06,0.0856,0.878,106.021,331572,4
Jee Le Zaraa,0,Talaash,2r32XiAWtZbT3eLUvf4pag,0.584,0.698,4,-6.61,0,0.0376,0,0.0699,0.436,79.993,215203,4
Patakha Guddi (Male Version),0,Highway (Original Motion Picture Soundtrack),3ci2zg0zWVD7YuFXzXMGnD,0.695,0.767,7,-7.037,0,0.0643,3.97E-06,0.173,0.727,130.994,357826,4
Tum Tak,0,Raanjhanaa (Original Motion Picture Soundtrack),1wnozUBSe7OMpmZiTPJC5j,0.72,0.621,2,-9.773,1,0.0491,0,0.0679,0.566,114.987,304467,4
At My Worst,0,The Prelude,0ri0Han4IRJhzvERHOZTMr,0.813,0.415,0,-5.926,1,0.0349,0,0.131,0.667,91.921,170345,4
Love The Way You Lie,0,Recovery,6UaRii9AH6Zss9xNMEQ2M9,0.746,0.922,10,-5.014,1,0.236,0,0.515,0.638,86.961,263373,4
Break My Heart,0,Break My Heart,1raaNykBg1bDnWENUiglUA,0.73,0.729,4,-3.434,0,0.0886,1.39E-06,0.349,0.467,113.012,221820,4
Titanium (feat. Sia),0,Nothing but the Beat Ultimate,2dOTkLZFbpNXrhc24CnTFd,0.604,0.787,0,-3.674,0,0.103,0.15,0.127,0.301,126.062,245040,4
We Don't Talk Anymore (feat. Selena Gomez),0,Nine Track Mind,68EMU2RD1ECNeOeJ5qAXCV,0.728,0.563,1,-8.053,0,0.134,0,0.179,0.352,100.017,217707,4
Agar Tum Saath Ho,0,Tamasha,3hkC9EHFZNQPXrtl8WPHnX,0.562,0.519,3,-8.744,1,0.0326,0.000268,0.172,0.415,122.925,341055,4
Shaayraana,0,Holiday (Original Motion Picture Soundtrack),2UGhg8kZPwn9Aofl1083N4,0.608,0.665,2,-4.244,1,0.0482,1.46E-05,0.0832,0.704,93.919,261439,4
"Enna Sona (From ""OK Jaanu"")",0,"Enna Sona (From ""OK Jaanu"")",1Wf5q34m4hTnAxCljiAonb,0.717,0.415,7,-9.875,0,0.0302,1.43E-06,0.0976,0.379,100.021,213632,4
Safarnama,0,Tamasha,6w458kA8WOAIZr1ublxnK9,0.541,0.512,9,-10.203,1,0.0291,0.000528,0.162,0.203,120.036,251402,4
Matargashti,0,Tamasha,5GeBgck1MU2tlIkMpsn8uT,0.792,0.63,0,-6.741,1,0.0682,0,0.0758,0.659,100.022,328052,4
Saadda Haq,0,Rockstar,7k3jpyYPnVnbO0p7iejWxL,0.554,0.882,6,-5.018,0,0.0488,2.80E-06,0.368,0.627,96.958,362662,4
Apna Time Aayega,0,Gully Boy,5uaIbU3oHHcSOK6WFNK5nj,0.766,0.618,11,-8.552,0,0.124,0.000115,0.181,0.513,95.054,140463,4
Tu Meri,0,Bang Bang (Original Motion Picture Soundtrack),39TJkE0AEkfWii8VB3JqSV,0.679,0.688,8,-5.522,1,0.0293,0,0.704,0.424,127.951,257089,4
Iktara,0,Wake Up Sid (Original Motion Picture Soundtrack),3jtKSUiVDowKNBqVQbWaig,0.616,0.525,7,-7.065,1,0.0258,0.000484,0.309,0.427,79.976,253773,4
Zara Zara,0,Rehna Hai Tere Dil Mein,7yBTD8ymmfpj3dV3jnjr1l,0.635,0.268,11,-15.073,0,0.0895,2.04E-06,0.316,0.62,143.771,298266,4
Tere Bina,0,Guru (Original Motion Picture Soundtrack),4FeczSomVWVyU4FW7xDeAI,0.744,0.7,2,-7.663,1,0.0375,0.000155,0.068,0.867,144.033,309640,4
Kahaan Hoon Main,0,Highway (Original Motion Picture Soundtrack),6F092qC6W0wEzYfZN6I6RW,0.324,0.198,9,-13.264,1,0.0315,0.00165,0.069,0.0776,135.86,327394,4
"Piyu Bole (From ""Parineeta"")",0,Aapke Pyaar Mein (Love Songs),4ODYKRlvf1a346wm6fPAh4,0.667,0.341,1,-11.183,1,0.0254,0,0.119,0.6,97.5,267840,3
"Bheegi Si Bhaagi Si (From ""Raajneeti"")",0,Best of Me Pritam,1bIJ3xSGiqhgklNxWfGxRd,0.564,0.867,8,-6.21,1,0.121,0,0.262,0.815,88.919,278093,4
"Safar (From ""Jab Harry Met Sejal"")",0,"Safar (From ""Jab Harry Met Sejal"")",4BH3FzJwNvjDpL8J78NMYM,0.307,0.604,7,-5.592,1,0.0397,3.79E-06,0.0789,0.452,85.641,365669,5
Main Yahaan Hoon,1,Veer - Zaara,3OAFzjwWionh8OfM4kgf2R,0.484,0.788,4,-7.625,0,0.0565,0.0132,0.0939,0.741,171.973,295158,4
Bezubaan Phir Se,1,ABCD 2,6SgKgoIUaD3UskSh2eNcga,0.491,0.616,6,-8.67,0,0.0918,0.00329,0.102,0.338,99.972,272434,4
"Fikar Not (From ""Chhichhore"")",1,"Fikar Not (From ""Chhichhore"")",7oRA6vzbUl5brLK7GDcKOJ,0.609,0.849,5,-6.826,0,0.0859,0.0019,0.058,0.869,185.889,189073,3
Baaki Baatein Peene Baad (Shots) (feat. Badshah),1,Baaki Baatein Peene Baad (Shots) (feat. Badshah),2RBkVQwpkDeYytMTQwjyTk,0.566,0.862,7,-6.02,0,0.105,0,0.103,0.455,147.974,220313,4
"Ek Toh Kum Zindagani (From ""Marjaavaan"")",1,"Ek Toh Kum Zindagani (From ""Marjaavaan"")",6oDHAjaJJjwwgoAuMIeY9K,0.668,0.965,7,-2.293,1,0.091,0.000867,0.0566,0.722,128.012,190346,4
Ude Dil Befikre,1,Befikre,0hgTkEDY9oIG5DPKN39KHP,0.704,0.952,0,-2.331,0,0.0333,0,0.335,0.902,106.99,231327,4
Kal Ho Naa Ho,1,Kal Ho Naa Ho (Original Motion Picture Soundtrack),251PNRmJU9KcUnFQAB5t6I,0.532,0.529,0,-8.402,1,0.0352,0.000144,0.078,0.295,81.989,321240,4
"Sapna Jahan (From ""Brothers"")",1,"Sapna Jahan (From ""Brothers"")",6uQkoo1UGWThtEpNEYc6Ga,0.471,0.329,0,-11.958,0,0.0312,0.0021,0.117,0.144,126.107,341780,4
"Ishq Bina (From ""Taal"")",1,Taal (Original Motion Picture Soundtrack),5JWpN1YtsTFVzv5cjTAvNr,0.657,0.357,7,-16.269,1,0.0606,3.05E-06,0.0621,0.507,87.961,460498,4
"Yaaron Sun Lo Zara (From ""Rangeela"")",1,Rangeela (Original Motion Picture Soundtrack),3pmNztJPAGQtYWLG19Ne03,0.777,0.554,7,-7.874,0,0.299,0,0.028,0.604,144.889,354000,4
"Tanha Tanha (From ""Rangeela"")",1,Rangeela (Original Motion Picture Soundtrack),6adCtjw7QeTlV9gswjBMC4,0.608,0.895,6,-6.04,0,0.42,0.00931,0.0446,0.373,189.836,336000,4
Heer Toh Badi 4 Hai,1,Tamasha (Original Motion Picture Soundtrack),7AUeoRKLHaUaYz4QdRa9Q4,0.527,0.914,7,-5.028,1,0.0588,6.40E-06,0.134,0.901,91.05,326896,4
Wat Wat Wat,1,Tamasha (Original Motion Picture Soundtrack),6niCiX4kh6H4ac7KlSmDgg,0.762,0.886,2,-7.051,1,0.196,1.98E-05,0.155,0.961,150.02,298632,4
Tum Ho Toh,1,Rock On,2uy15favOgEOtS8wjAD9B1,0.469,0.361,0,-8.275,1,0.0293,0.00154,0.104,0.0775,111.972,251277,4
Khaabon Ke Parinday,1,Zindagi Na Milegi Dobara,14eotumM24MhIgzidgN3Jx,0.517,0.565,9,-10.184,1,0.0441,0.00689,0.0997,0.69,169.952,251704,4
Phir Le Aya Dil - Reprise,1,Barfi! (Original Motion Picture Soundtrack),7fpWJr5shT90KiCHXKHxch,0.237,0.543,7,-8.921,1,0.0372,3.86E-06,0.0961,0.316,73.896,305613,4
Soorma Anthem,1,Soorma (Original Motion Picture Soundtrack),01d8tSqJUrPlK1l8FwgsCF,0.723,0.666,7,-7.028,0,0.0274,0,0.106,0.117,113.99,251992,4
"Hui Malang (From ""Malang - Unleash The Madness"")",1,"Hui Malang (From ""Malang - Unleash The Madness"")",5bAed2aRbQbjDZF9qkNSA2,0.633,0.904,7,-5.09,0,0.0564,4.31E-05,0.122,0.259,124.008,192097,4
"Humraah (From ""Malang - Unleash The Madness"")",1,"Humraah (From ""Malang - Unleash The Madness"")",4xmkpE1Si5JL7NFxWrhV0S,0.468,0.854,11,-3.932,0,0.059,0,0.126,0.277,155.867,299822,4
"Malang (Title Track) [From ""Malang - Unleash The Madness""]",1,"Malang (Title Track) [From ""Malang - Unleash The Madness""]",25MPTnqXQB1H6OkwSYUXWx,0.384,0.728,7,-6.503,0,0.0623,1.85E-05,0.329,0.311,156.396,287374,4
Maahi,1,RAAZ - The Mystery Continues (Original Motion Picture Soundtrack),4bIQXffbALkCC0Xo6aTicP,0.463,0.84,9,-4.035,0,0.0955,0,0.351,0.385,153.941,329107,4
"Luttna (From ""Cocktail"")",1,Cocktail,20I462M3P1tqEhds4O3clQ,0.526,0.875,0,-4.289,1,0.0838,1.76E-06,0.344,0.305,88.082,300918,4
Maahi Ve,1,Highway,1sbW5E7w8tnqpYk0Frx8QG,0.604,0.72,5,-7.276,1,0.0603,1.18E-05,0.12,0.528,130.995,240784,4
"Satarangi Re (From ""Dil Se"")",1,Bollywood's Musical Extravaganza - Sonu Nigam & Sukhwinder Singh,75IJNS71OfZjR2LazDx9Jr,0.695,0.504,3,-14.057,0,0.115,0,0.269,0.345,91.022,445520,4
"Roja - Version, 1",1,Roja (Original Motion Picture Soundtrack),4zS1GqwMvfSsA0g48qvxAq,0.63,0.319,4,-17.106,1,0.0467,0,0.0926,0.431,90.956,306147,4
"Jiya Jale (From ""Dil Se"")",1,Humse Hai Muqabala & A.R. Rahman's All Time Hits,11VwOaudCqzI54VPDvJTR3,0.767,0.503,9,-13.424,1,0.0828,9.56E-05,0.158,0.483,141.996,309107,4
"Mere Haath Mein (From ""Fanaa"")",1,Flavours Of Romance-Valentine's Day Vol. 1,6foIYRGnCNfhd6hNSHBVmC,0.554,0.606,1,-12.312,1,0.0722,0.000183,0.11,0.584,93.922,285858,4
Dil Se Re,1,Dil Se (Original Motion Picture Soundtrack),30yySOIXHZYx94sLAySy2j,0.844,0.442,9,-16.54,1,0.0691,0.000498,0.0879,0.436,105.986,405707,4
Kehna Hi Kya - Bombay / Soundtrack Version,1,Bombay,5j5vCuBjS1sFWywWUnkJqV,0.693,0.268,9,-15.606,0,0.0774,0,0.0658,0.587,127.056,353893,4
Ye Tumhari Meri Baatein,1,Rock On,1xaj4bm3GMthtoZHUfepl1,0.351,0.552,5,-7.404,1,0.0273,0.000494,0.112,0.319,87.769,324058,4
Roobaroo,1,Rang De Basanti (Original Motion Picture Soundtrack),3vqJY3pVELLIxqXXyI08yr,0.675,0.582,9,-8.891,1,0.0277,5.56E-06,0.0854,0.538,120.991,282973,4
Believer,1,Evolve,7Izh7zLJGw1Nscd62Exxj4,0.762,0.787,10,-4.311,0,0.127,0,0.126,0.691,125.067,204347,4
Take on Me,1,Hunting High and Low,2WfaOiMkCvy7F5fcp2zZ8L,0.573,0.902,6,-7.638,0,0.054,0.00125,0.0928,0.876,84.412,225280,4
rockstar,1,rockstar (feat. 21 Savage),2U7Hu2RaNQNRi7izoJyZaX,0.578,0.532,5,-6.636,0,0.066,8.97E-05,0.143,0.12,159.784,218320,4
Samjhawan,1,Humpty Sharma Ki Dulhania (Original Motion Picture Soundtrack),4LO5DjN6Tp3UkUvgESuy2t,0.65,0.482,4,-8.667,1,0.0281,0,0.0811,0.517,106.994,269185,4
"Hawayein (From ""Jab Harry Met Sejal"")",1,"Hawayein (From ""Jab Harry Met Sejal"")",6871FKHumiy1Wfr6vF7Xxt,0.606,0.601,2,-5.576,1,0.0283,0.000511,0.127,0.453,125.961,289999,4
Phir Se Ud Chala,1,Rockstar,1kcV2LJxt5v0s2cEGtEJ5i,0.647,0.656,11,-8.632,1,0.0354,0.000163,0.343,0.453,119.965,268833,4
Shree Hanuman Chalisa,1,Shree Hanuman Chalisa (Hanuman Ashtak),6H7fLdt0AeWpuxUKXuXWrx,0.589,0.885,4,-3.4,1,0.035,0,0.132,0.831,91.01,586076,4
Nadaan Parinde,1,Rockstar,6Z394Nd4gW6Ts9hmu3NUjx,0.507,0.741,6,-7.456,0,0.0535,3.95E-06,0.107,0.492,132.903,384000,4
Socha Hai,1,Rock On,7IjnfuMNfdrAXbefurdIIR,0.593,0.773,2,-5.591,1,0.0339,0,0.117,0.561,133.975,246132,4
Rang De Basanti,1,Rang De Basanti (Original Motion Picture Soundtrack),1SdFBc40uBU5Pqylo05VIC,0.848,0.925,7,-6.161,1,0.0767,0.104,0.209,0.69,105.006,363800,4
Roobaroo,1,Rang De Basanti (Original Motion Picture Soundtrack),3vqJY3pVELLIxqXXyI08yr,0.675,0.582,9,-8.891,1,0.0277,5.56E-06,0.0854,0.538,120.991,282973,4
Bulleya,1,Ae Dil Hai Mushkil (Original Motion Picture Soundtrack) [Deluxe Edition],0Bz7dfqPY4JOGZO3O1j8Wh,0.552,0.769,2,-4.504,0,0.0465,0,0.112,0.702,86.957,348966,4
"Dheeme Dheeme (From ""Pati Patni Aur Woh"")",1,"Dheeme Dheeme (From ""Pati Patni Aur Woh"")",7ofWUKeNCUw1P64ArIwG9b,0.8,0.972,10,-2.053,0,0.0405,0.00337,0.351,0.694,110.054,177383,4
"Aadat Se Majboor (From ""Ladies V/s Ricky Bahl"")",1,My Ultimate Bollywood Party 2012,7wFeoieylSyYkmx3aLlfyx,0.83,0.594,9,-9.389,0,0.0749,3.64E-05,0.0857,0.823,115.018,274827,4
Tu Bin Bataye,1,Rang De Basanti (Original Motion Picture Soundtrack),1jjSjma0cfNUhyOUzQqt6J,0.528,0.427,1,-10.848,1,0.0325,0.0188,0.0931,0.11,120.076,357627,4
Samjhawan,1,Humpty Sharma Ki Dulhania (Original Motion Picture Soundtrack),4LO5DjN6Tp3UkUvgESuy2t,0.65,0.482,4,-8.667,1,0.0281,0,0.0811,0.517,106.994,269185,4
"Tu Meri Dost Hain (From ""Yuvvraaj"")",1,AR Rahman Musique,2EYBcS36IcrLX6so7niET9,0.686,0.707,7,-5.906,1,0.0255,3.22E-05,0.343,0.495,99.99,371659,4
"Kaise Mujhe (From ""Ghajini"")",1,AR Rahman Musique,4OOxNBOfqcVgEJfm8cWscr,0.59,0.414,10,-12.391,1,0.0346,0.000522,0.146,0.292,82.002,343742,4
Kya Mujhe Pyaar Hai,1,Woh Lamhe,3HFjh7QljnUCBLsoTwMuTj,0.644,0.818,6,-5.924,0,0.0549,2.62E-05,0.0806,0.789,118.477,266653,4
Sauda Khara Khara,2,"Sauda Khara Khara (From ""Good Newwz"")",4LLvxxkWtt818FNO3cbsdo,0.687,0.919,10,-3.28,1,0.0635,4.38E-06,0.105,0.877,145.037,211034,4
Afghan Jalebi (Film Version),2,Phantom,1rEVydQSe04NJUqyyEyeEq,0.84,0.884,0,-3.217,1,0.334,0,0.0885,0.972,118.007,224207,4
High Heels Te Nachche,2,Ki &amp; Ka,1bAa1OyefOhXdqnL8dlxFt,0.796,0.85,1,-3.641,1,0.203,0,0.129,0.559,136.03,212116,4
Dilliwaali Girlfriend,2,Yeh Jawaani Hai Deewani,3W1XPf7mvuQcWQB7U7MbTM,0.687,0.941,6,-5.23,0,0.0583,2.93E-06,0.0697,0.909,138.048,260552,4
Balam Pichkari,2,Yeh Jawaani Hai Deewani,18e3XXYCv4Tx8uUl1mP3CN,0.732,0.944,0,-4.115,1,0.09,0,0.401,0.957,120.02,288903,4
Bom Diggy Diggy,2,Sonu Ke Titu Ki Sweety,1OACsTiYokI4NUgnMonSmt,0.782,0.827,11,-4.219,0,0.0627,0,0.226,0.498,104.032,238530,4
Tamma Tamma Again,2,Badrinath Ki Dulhania,5sqPE9h98DkO5ms20NUiUg,0.724,0.848,2,-4.724,1,0.0522,9.16E-05,0.104,0.781,123.02,199265,4
Gulaabo,2,Shaandaar,5hRXhmEuQW3SJwX94BBV6u,0.767,0.64,11,-6.626,1,0.152,4.39E-05,0.085,0.751,146.036,264418,4
"O Saki Saki (From ""Batla House"")",2,"O Saki Saki (From ""Batla House"")",4cFwhwH5ydnHgB0Tv3lZsm,0.737,0.961,10,-0.155,0,0.0747,0,0.361,0.567,108.014,191089,4
"Malang (Title Track) [From ""Malang - Unleash The Madness""]",2,"Malang (Title Track) [From ""Malang - Unleash The Madness""]",25MPTnqXQB1H6OkwSYUXWx,0.384,0.728,7,-6.503,0,0.0623,1.85E-05,0.329,0.311,156.396,287374,4
Kar Gayi Chull,2,The Badshah of Party Hits,3fPgIknlkDWXs1l2noKZbp,0.827,0.737,11,-5.473,0,0.0764,0.000322,0.211,0.873,121.99,187711,4
Abhi Toh Party Shuru Hui Hai,2,Khoobsurat,0rUN8ascPVT9iiLzC5ocPw,0.806,0.815,3,-5.373,0,0.0599,2.35E-05,0.586,0.678,129.999,179912,4
Nachde Ne Saare,2,Baar Baar Dekho (Original Motion Picture Soundtrack),4c8erEn1DjLoDp0CRLkNnq,0.82,0.907,7,-4.517,1,0.0607,4.85E-05,0.0816,0.834,126.062,194762,4
"Pyaar Tenu Karda Gabru (From ""Shubh Mangal Zyada Saavdhan"")",2,"Pyaar Tenu Karda Gabru (From ""Shubh Mangal Zyada Saavdhan"")",0OcVZqIer0LLu3K8sdU5Yb,0.808,0.901,1,-1.944,1,0.0907,0.000762,0.262,0.709,93.026,165582,4
"Nachange Saari Raat (feat. Neeraj Shridhar, Tulsi Kumar)",2,Junooniyat,1iF6lrJludTZmfgMgXPqSe,0.679,0.921,1,-4.416,0,0.0362,1.41E-06,0.0636,0.755,131.084,251514,4
